Index      TIME           V(1)           V(2)           V(3)           V(9)           V(13)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
1       5.00000000e-11   1.50000000e-02   1.50000000e-02   0.00000000e+00   4.99500500e-03   4.99500500e-03   
2       1.50000000e-10   4.50000000e-02   4.50000000e-02   0.00000000e+00   4.99500500e-03   4.99500500e-03   
3       3.50000000e-10   1.05000000e-01   1.05000000e-01   0.00000000e+00   4.99500500e-03   4.99500500e-03   
4       7.50000000e-10   2.25000000e-01   2.25000000e-01   0.00000000e+00   4.99500500e-03   4.99500500e-03   
5       1.55000000e-09   4.65000000e-01   4.65000000e-01   0.00000000e+00   4.99500500e-03   4.99500500e-03   
6       3.15000000e-09   9.45000000e-01   9.45000000e-01   0.00000000e+00   4.99500500e-03   4.99500500e-03   
7       6.35000000e-09   1.90500000e+00   1.90500000e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
8       7.26250000e-09   2.17875000e+00   2.17875000e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
9       7.71875000e-09   2.31562500e+00   2.31562500e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
10      7.94687500e-09   2.38406250e+00   2.38406250e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
11      8.06093750e-09   2.41828125e+00   2.41828125e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
12      8.28906250e-09   2.48671875e+00   2.48671875e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
13      8.31757813e-09   2.49527344e+00   2.49527344e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
14      8.32470703e-09   2.49741211e+00   2.49741211e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
15      8.33183594e-09   2.49955078e+00   2.49955078e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
16      8.33540039e-09   2.50062012e+00   2.50062012e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
17      8.33765402e-09   2.50129621e+00   2.50129621e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
18      8.33990765e-09   2.50197229e+00   2.50197229e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
19      8.34120320e-09   2.50236096e+00   2.50236096e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
20      8.34249875e-09   2.50274963e+00   2.50274963e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
21      8.34344429e-09   2.50303329e+00   2.50303329e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
22      8.34412504e-09   2.50323751e+00   2.50323751e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
23      8.34464537e-09   2.50339361e+00   2.50339361e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
24      8.34507303e-09   2.50352191e+00   2.50352191e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
25      8.34544267e-09   2.50363280e+00   2.50363280e+00   0.00000000e+00   4.99500500e-03   4.99500500e-03   
